PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
17083276	0	['CAF-1 Is Essential for Heterochromatin Organization in Pluripotent Embryonic Cells\n\nAbstract\n\nDuring mammalian development, chromatin dynamics and epigenetic marking are important for genome reprogramming.']	(0, 205)	['CL:0002248', 'CL:0002321', 'CL:0002321', 'CL:0002248', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0000792', 'GO:0000785', 'NCBITaxon:40674', 'SO:0001026', 'UBERON:0000922']
17083276	1	['Recent data suggest an important role for the chromatin assembly machinery in this process.']	(206, 297)	['GO:0031497', 'GO:0031497', 'GO:0000785']
17083276	2	['To analyze the role of chromatin assembly factor 1 (CAF-1) during pre-implantation development, we generated a mouse line carrying a targeted mutation in the gene encoding its large subunit, p150CAF-1.']	(298, 499)	['GO:0031497', 'GO:0031497', 'GO:0007566', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'NCBITaxon:10088', 'PR:000005402', 'PR:000005402', 'PR:000005402', 'SO:0000704']
17083276	3	['Loss of p150CAF-1 in homozygous mutants leads to developmental arrest at the 16-cell stage.']	(500, 591)	['PR:000005402', 'PR:000005402', 'PR:000005402']
17083276	4	['Absence of p150CAF-1 in these embryos results in severe alterations in the nuclear organization of constitutive heterochromatin.']	(592, 720)	['GO:0005634', 'GO:0000792', 'PR:000005402', 'PR:000005402', 'PR:000005402', 'UBERON:0000922']
17083276	5	['We provide evidence that in wild-type embryos, heterochromatin domains are extensively reorganized between the two-cell and blastocyst stages.']	(721, 863)	['GO:0000792', 'UBERON:0000922', 'UBERON:0007232', 'UBERON:0007232', 'UBERON:0007232', 'UBERON:0000358', 'UBERON:0007232']
17083276	6	['In p150CAF-1 mutant 16-cell stage embryos, the altered organization of heterochromatin displays similarities to the structure of heterochromatin in two- to four-cell stage wild-type embryos, suggesting that CAF-1 is required for the maturation of heterochromatin during preimplantation development.']	(864, 1162)	['GO:0007566', 'GO:0000792', 'GO:0000792', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0000792', 'PR:000005402', 'PR:000005402', 'PR:000005402', 'UBERON:0000922', 'UBERON:0007232', 'UBERON:0007232', 'UBERON:0007233', 'UBERON:0007233', 'UBERON:0007233', 'UBERON:0007232', 'UBERON:0007233', 'UBERON:0007232', 'UBERON:0000922']
17083276	7	['In embryonic stem cells, depletion of p150CAF-1 using RNA interference results in the mislocalization, loss of clustering, and decondensation of pericentric heterochromatin domains.']	(1163, 1344)	['CL:0002322', 'CL:0002322', 'CL:0002322', 'GO:0016246', 'GO:0016246', 'GO:0005721', 'GO:0005721', 'PR:000005402', 'PR:000005402', 'PR:000005402', 'UBERON:0000922']
17083276	8	['Furthermore, loss of CAF-1 in these cells results in the alteration of epigenetic histone methylation marks at the level of pericentric heterochromatin.']	(1345, 1497)	['CHEBI:15358', 'GO:0016571', 'GO:0016571', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0005721', 'GO:0005721', 'PR:000043452']
17083276	9	['These alterations of heterochromatin are not found in p150CAF-1-depleted mouse embryonic fibroblasts, which are cells that are already lineage committed, suggesting that CAF-1 is specifically required for heterochromatin organization in pluripotent embryonic cells.']	(1498, 1763)	['CL:0000057', 'CL:0002248', 'CL:0002321', 'CL:0002248', 'CL:0002321', 'GO:0000792', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0000792', 'NCBITaxon:10088', 'PR:000005402', 'PR:000005402', 'PR:000005402', 'UBERON:0000922', 'UBERON:0000922']
17083276	10	['Our findings underline the role of the chromatin assembly machinery in controlling the spatial organization and epigenetic marking of the genome in early embryos and embryonic stem cells.']	(1764, 1951)	['CL:0002322', 'CL:0002322', 'CL:0002322', 'GO:0031497', 'GO:0031497', 'GO:0065007', 'GO:0000785', 'SO:0001026', 'UBERON:0019248', 'UBERON:0019248', 'UBERON:0000922']
17083276	11	['Synopsis\n\nChromatin is the support of our genetic information.']	(1953, 2015)	['GO:0000785', 'SO:0000704']
17083276	12	['It is composed of numerous repeated units called nucleosomes, in which DNA wraps around a core of histone proteins.']	(2016, 2131)	['CHEBI:15358', 'GO:0000786', 'PR:000043452']
17083276	13	['Modifications in the composition and biochemical properties of nucleosomes play major roles in the regulation of genome function.']	(2132, 2261)	['GO:0065007', 'GO:0000786', 'SO:0001026']
17083276	14	['Such modifications are termed “epigenetic” when they are inherited across cell divisions and confer new information to chromatin, in addition to the genetic information provided by DNA.']	(2262, 2447)	['GO:0051301', 'GO:0051301', 'GO:0000785', 'SO:0000704']
17083276	15	['It is usually believed that during genome replication, the basic chromatin assembly machinery builds up “naïve” nucleosomes, and, in a subsequent step, nucleosomes are selectively modified by a series of enzymes to acquire epigenetic information.']	(2448, 2694)	['GO:0006260', 'GO:0031497', 'GO:0031497', 'GO:0000785', 'GO:0000786', 'GO:0000786', 'SO:0001026']
17083276	16	['Here, the authors studied the role of a basic chromatin assembly factor (CAF-1) in mouse embryonic stem cells and early embryos.']	(2695, 2823)	['CL:0002322', 'CL:0002322', 'CL:0002322', 'GO:0031497', 'GO:0031497', 'GO:0000785', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'NCBITaxon:10088', 'UBERON:0000922', 'UBERON:0019248', 'UBERON:0019248']
17083276	17	['Surprisingly, they show that CAF-1 confers epigenetic information to specific genomic regions.']	(2824, 2918)	['GO:0033186', 'GO:0033186', 'GO:0033186', 'SO:0001026']
17083276	18	['In addition, this study revealed that CAF-1 is required for the proper spatial organization of chromosomes in the nucleus.']	(2919, 3041)	['GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0005634']
17083276	19	['This new knowledge may contribute to better understanding the role of chromatin in the maintenance of embryonic stem cell identity and plasticity.']	(3042, 3188)	['CL:0002322', 'CL:0002322', 'CL:0002322', 'GO:0000785', 'UBERON:0000922']
17083276	20	['Introduction\n\nDuring mouse pre-implantation development, the genome undergoes a series of major epigenetic changes required for embryonic gene expression, the maintenance of totipotency, and the first differentiation events [1,2].']	(3190, 3420)	['GO:0007566', 'GO:0010467', 'GO:0010467', 'NCBITaxon:10088', 'SO:0001026', 'SO:0000704', 'UBERON:0000922']
17083276	21	['While many studies have established the importance of DNA methylation in epigenetic reprogramming, recent data point to a crucial role of chromatin in this process [3–5].']	(3421, 3591)	['GO:0006306', 'GO:0006306', 'GO:0000785']
17083276	22	['Yet we know very little about the role of histone modifying enzymes, chromatin remodeling factors, and histone chaperones during pre-implantation development, or in stem cells derived from early embryos [6].']	(3592, 3799)	['CHEBI:15358', 'CHEBI:15358', 'CL:0000034', 'CL:0000034', 'GO:0016570', 'GO:0016570', 'GO:0006338', 'GO:0006338', 'GO:0007566', 'GO:0000785', 'PR:000043452', 'PR:000043452', 'UBERON:0019248', 'UBERON:0019248']
17083276	23	['A subset of identified histone chaperones and chromatin remodeling complexes can collaborate to promote nucleosome assembly in vitro and are therefore in a strategic position to control chromatin assembly and maturation during development [7,8].']	(3800, 4045)	['CHEBI:15358', 'GO:0006338', 'GO:0006338', 'GO:0006334', 'GO:0006334', 'GO:0065007', 'GO:0031497', 'GO:0031497', 'GO:0000785', 'GO:0032991', 'GO:0000786', 'GO:0000785', 'PR:000043452']
17083276	24	['Among histone chaperones, chromatin assembly factor 1 (CAF-1) is a three-subunit (p150, p60, and p48) complex which promotes histone H3 and H4 deposition onto newly synthesized DNA during replication or DNA repair [9,10].']	(4046, 4267)	['CHEBI:15358', 'CHEBI:15358', 'GO:0031497', 'GO:0031497', 'GO:0006260', 'GO:0006281', 'GO:0006281', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0032991', 'PR:000043452', 'PR:000005402', 'PR:000005403', 'PR:000013776', 'PR:000027594', 'PR:000008603', 'PR:000027594', 'PR:000008603']
17083276	25	['Specifically, CAF-1 deposits the histone H3 variant H3.1 into chromatin, in a pathway coupled to DNA synthesis, whereas a second histone chaperone, HIRA, is involved in the deposition of the H3.3 variant in a DNA synthesis independent pathway [11,12].']	(4268, 4519)	['CHEBI:15358', 'CHEBI:15358', 'GO:0071897', 'GO:0071897', 'GO:0071897', 'GO:0071897', 'GO:0033186', 'GO:0033186', 'GO:0033186', 'GO:0000785', 'PR:000027594', 'PR:000027594', 'PR:000043452', 'PR:000008570', 'PR:000008425', 'PR:000008425', 'PR:000008425']
