PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
15328533	0	['Regulation of Muscle Fiber Type and Running Endurance by PPARδ\n\nAbstract\n\nEndurance exercise training can promote an adaptive muscle fiber transformation and an increase of mitochondrial biogenesis by triggering scripted changes in gene expression.']	(0, 248)	['CL:0000187', 'CL:0000187', 'CL:0000187', 'CL:0000187', 'GO:0065007', 'GO:0043500', 'GO:0043500', 'GO:0043500', 'GO:0043500', 'GO:0010467', 'GO:0010467', 'GO:0005739', 'PR:000013057', 'SO:0000704']
15328533	1	['However, no transcription factor has yet been identified that can direct this process.']	(249, 335)	[]
15328533	2	['We describe the engineering of a mouse capable of continuous running of up to twice the distance of a wild-type littermate.']	(336, 459)	['NCBITaxon:10088']
15328533	3	['This was achieved by targeted expression of an activated form of peroxisome proliferator-activated receptor δ (PPARδ) in skeletal muscle, which induces a switch to form increased numbers of type I muscle fibers.']	(460, 671)	['CL:0002211', 'CL:0002211', 'CL:0002211', 'CL:0002211', 'GO:0010467', 'GO:0005777', 'PR:000013057', 'PR:000013057', 'PR:000013057', 'PR:000013057', 'PR:000013057', 'PR:000013057', 'PR:000013057', 'UBERON:0004288']
15328533	4	['Treatment of wild-type mice with PPARδ agonist elicits a similar type I fiber gene expression profile in muscle.']	(672, 784)	['CHEBI:73730', 'CHEBI:73730', 'CL:0002211', 'CL:0002211', 'CL:0002211', 'GO:0010467', 'GO:0010467', 'NCBITaxon:10088', 'PR:000013057', 'SO:0000704']
15328533	5	['Moreover, these genetically generated fibers confer resistance to obesity with improved metabolic profiles, even in the absence of exercise.']	(785, 925)	['GO:0008152', 'SO:0000704']
15328533	6	['These results demonstrate that complex physiologic properties such as fatigue, endurance, and running capacity can be molecularly analyzed and manipulated.']	(926, 1081)	[]
15328533	7	['Introduction\n\nSkeletal muscle fibers are generally classified as type I (oxidative/slow) or type II (glycolytic/fast) fibers.']	(1083, 1208)	['CL:0008002', 'CL:0008002', 'CL:0008002', 'CL:0002211', 'CL:0002211', 'CL:0002210', 'CL:0000189', 'CL:0002212', 'CL:0002212', 'CL:0000190', 'CL:0000190', 'CL:0000189', 'CL:0002210', 'CL:0000190', 'CL:0000190', 'CL:0002211', 'CL:0002212', 'GO:0006096', 'MOP:0000568', 'UBERON:0004288']
15328533	8	['They display marked differences in respect to contraction, metabolism, and susceptibility to fatigue.']	(1209, 1310)	['GO:0006936', 'GO:0008152']
15328533	9	['Type I fibers are mitochondria-rich and mainly use oxidative metabolism for energy production, which provides a stable and long-lasting supply of ATP, and thus are fatigue-resistant.']	(1311, 1493)	['CL:0002211', 'CL:0002211', 'CL:0002211', 'GO:0045333', 'GO:0045333', 'GO:0005739', 'MOP:0000568']
