PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
12925238	0	['Function, expression and localization of annexin A7 in platelets and red blood cells: Insights derived from an annexin A7 mutant mouse\n\nAbstract\n\nBackground\n\nAnnexin A7 is a Ca2+- and phospholipid-binding protein expressed as a 47 and 51 kDa isoform, which is thought to be involved in membrane fusion processes.']	(0, 312)	['CHEBI:29108', 'CHEBI:29108', 'CHEBI:16247', 'CHEBI_PR_EXT:protein', 'CL:0000233', 'CL:0000232', 'CL:0000232', 'CL:0000232', 'GO:0010467', 'GO_PATO_EXT:biological_localization_process_or_quality', 'GO:0010467', 'GO:0061025', 'GO:0061025', 'CL_GO_EXT:cell', 'GO:0016020', 'CHEMINF_GO_EXT:chemical_binding_or_bond_formation', 'NCBITaxon:10088', 'PR_EXT:000004080', 'PR_EXT:000004080', 'PR_EXT:000004080', 'PR_EXT:000004080', 'PR_EXT:000004080', 'PR_EXT:000004080', 'CHEBI_PR_EXT:protein', 'SO_EXT:sequence_altered_entity_or_alteration_process', 'SO_EXT:0001060', 'UBERON:0000178']
12925238	1	['Recently the 47 kDa isoform has been identified in erythrocytes where it was proposed to be a key component in the process of the Ca2+-dependent vesicle release, a process with which red blood cells might protect themselves against an attack by for example complement components.']	(313, 592)	['CHEBI:29108', 'CHEBI:29108', 'CL:0000232', 'CL:0000232', 'CL:0000232', 'CL:0000232', 'GO:0017156', 'GO:0017156', 'GO:0017156', 'GO:0017156', 'GO:0017156', 'GO:0031982', 'CL_GO_EXT:cell', 'SO_EXT:0001060', 'UBERON:0000178']
12925238	2	['Results\n\nThe role of annexin A7 in red blood cells was addressed in erythrocytes from anxA7-/- mice.']	(594, 694)	['CL:0000232', 'CL:0000232', 'CL:0000232', 'CL:0000232', 'CL_GO_EXT:cell', 'NCBITaxon:10088', 'PR_EXT:000004080', 'PR_EXT:000004080', 'PR_EXT:000004080', 'SO_EXT:sequence_nullness_or_absence', 'SO_EXT:sequence_nullness_or_absence', 'UBERON:0000178']
12925238	3	['Interestingly, the Ca2+-mediated vesiculation process was not impaired.']	(695, 766)	['CHEBI:29108', 'CHEBI:29108', 'GO:0006900']
12925238	4	['Also, the membrane organization appeared not to be disturbed as assessed using gradient fractionation studies.']	(767, 877)	['GO:0016020']
12925238	5	['Instead, lack of annexin A7 led to an altered cell shape and increased osmotic resistance of red blood cells.']	(878, 987)	['CL_GO_EXT:cell', 'CL:0000232', 'CL:0000232', 'CL:0000232', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'PR_EXT:000004080', 'PR_EXT:000004080', 'UBERON:0000178']
12925238	6	['Annexin A7 was also identified in platelets.']	(988, 1032)	['CL:0000233', 'PR_EXT:000004080', 'PR_EXT:000004080']
12925238	7	['In these cells its loss led to a slightly slower aggregation velocity which seems to be compensated by an increased number of platelets.']	(1033, 1169)	['CL_GO_EXT:cell', 'CL:0000233', 'CL_GO_EXT:cell']
12925238	8	['The results appear to rule out an important role of annexin A7 in membrane fusion processes occurring in red blood cells.']	(1170, 1291)	['CL:0000232', 'CL:0000232', 'CL:0000232', 'GO:0061025', 'GO:0061025', 'GO:0016020', 'CL_GO_EXT:cell', 'PR_EXT:000004080', 'PR_EXT:000004080', 'UBERON:0000178']
12925238	9	['Instead the protein might be involved in the organization of the membrane cytoskeleton.']	(1292, 1379)	['CHEBI_PR_EXT:protein', 'GO:0016020', 'GO:0005856', 'CHEBI_PR_EXT:protein']
12925238	10	['Red blood cells may represent an appropriate model to study the role of annexin A7 in cellular processes.']	(1380, 1485)	['CL:0000232', 'CL:0000232', 'CL:0000232', 'CL_GO_EXT:cell', 'GO:0009987', 'GO:0009987', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'PR_EXT:000004080', 'PR_EXT:000004080', 'UBERON:0000178']
12925238	11	['Conclusion\n\nWe have demonstrated the presence of both annexin A7 isoforms in red blood cells and the presence of the small isoform in platelets.']	(1487, 1631)	['CL:0000232', 'CL:0000232', 'CL:0000232', 'CL:0000233', 'CL_GO_EXT:cell', 'PR_EXT:000004080', 'PR_EXT:000004080', 'SO_EXT:0001060', 'SO_EXT:0001060', 'UBERON:0000178']
