PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
17069463	0	['RanBP2 Modulates Cox11 and Hexokinase I Activities and Haploinsufficiency of RanBP2 Causes Deficits in Glucose Metabolism\n\nAbstract\n\nThe Ran-binding protein 2 (RanBP2) is a large multimodular and pleiotropic protein.']	(0, 216)	['CHEBI:17234', 'CHEBI_PR_EXT:protein', 'CHEBI_PR_EXT:protein', 'GO:0065007', 'GO:0006006', 'GO:0006006', 'GO_EXT:0004396', 'CHEMINF_GO_EXT:chemical_binding_or_bond_formation', 'PR_EXT:000013712', 'PR_EXT:000005770', 'PR_EXT:000008608', 'PR_EXT:000008608', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000013712', 'CHEBI_PR_EXT:protein']
17069463	1	['Several molecular partners with distinct functions interacting specifically with selective modules of RanBP2 have been identified.']	(217, 347)	['CHEBI_EXT:polyatomic_entity_or_group', 'PR_EXT:000013712', 'SO_EXT:0000417']
17069463	2	['Yet, the significance of these interactions with RanBP2 and the genetic and physiological role(s) of RanBP2 in a whole-animal model remain elusive.']	(348, 495)	['GO_PATO_EXT:physiological_process_or_quality', 'NCBITaxon:33208', 'PR_EXT:000013712', 'PR_EXT:000013712', 'SO_EXT:0000704']
17069463	3	['Here, we report the identification of two novel partners of RanBP2 and a novel physiological role of RanBP2 in a mouse model.']	(496, 621)	['GO_PATO_EXT:physiological_process_or_quality', 'NCBITaxon:10088', 'PR_EXT:000013712', 'PR_EXT:000013712']
17069463	4	['RanBP2 associates in vitro and in vivo and colocalizes with the mitochondrial metallochaperone, Cox11, and the pacemaker of glycolysis, hexokinase type I (HKI) via its leucine-rich domain.']	(622, 810)	['CHEBI_SO_EXT:leucine', 'GO_PATO_EXT:biological_localization_process_or_quality', 'GO:0006096', 'GO:0005739', 'GO_EXT:0016530', 'GO_EXT:0004396', 'PR_EXT:000013712', 'PR_EXT:000005770', 'PR_EXT:000008608', 'PR_EXT:000008608', 'PR_EXT:000008608', 'PR_EXT:000008608', 'CHEBI_SO_EXT:leucine', 'SO_EXT:0000417']
17069463	5	['The leucine-rich domain of RanBP2 also exhibits strong chaperone activity toward intermediate and mature folding species of Cox11 supporting a chaperone role of RanBP2 in the cytosol during Cox11 biogenesis.']	(811, 1018)	['CHEBI_SO_EXT:leucine', 'GO:0006457', 'GO_EXT:biogenesis_or_biosynthesis', 'GO:0005829', 'PR_EXT:000013712', 'PR_EXT:000005770', 'PR_EXT:000013712', 'PR_EXT:000005770', 'CHEBI_SO_EXT:leucine', 'SO_EXT:0000417']
17069463	6	['Cox11 partially colocalizes with HKI, thus supporting additional and distinct roles in cell function.']	(1019, 1120)	['CL_GO_EXT:cell', 'GO_PATO_EXT:biological_localization_process_or_quality', 'CL_GO_EXT:cell', 'PR_EXT:000005770', 'PR_EXT:000008608']
17069463	7	['Cox11 is a strong inhibitor of HKI, and RanBP2 suppresses the inhibitory activity of Cox11 over HKI.']	(1121, 1221)	['CHEBI_EXT:35222', 'PR_EXT:000005770', 'PR_EXT:000008608', 'PR_EXT:000013712', 'PR_EXT:000005770', 'PR_EXT:000008608']
17069463	8	['To probe the physiological role of RanBP2 and its role in HKI function, a mouse model harboring a genetically disrupted RanBP2 locus was generated.']	(1222, 1369)	['GO_PATO_EXT:physiological_process_or_quality', 'NCBITaxon:10088', 'PR_EXT:000013712', 'PR_EXT:000008608', 'PR_EXT:000013712', 'SO_EXT:0000704']
17069463	9	['RanBP2−/− are embryonically lethal, and haploinsufficiency of RanBP2 in an inbred strain causes a pronounced decrease of HKI and ATP levels selectively in the central nervous system.']	(1370, 1552)	['CHEBI_EXT:ATP', 'GO_EXT:fatality_or_lethality', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000008608', 'SO_EXT:sequence_nullness_or_absence', 'SO_EXT:sequence_nullness_or_absence', 'UBERON:0000922', 'UBERON:0001017', 'UBERON:0001017', 'UBERON:0001017']
17069463	10	['Inbred RanBP2+/− mice also exhibit deficits in growth rates and glucose catabolism without impairment of glucose uptake and gluconeogenesis.']	(1553, 1693)	['CHEBI:17234', 'CHEBI:17234', 'GO_EXT:biological_growth_entity_or_process', 'GO:0006007', 'GO:0006007', 'GO:0046323', 'GO:0046323', 'GO:0006094', 'NCBITaxon:10088', 'PR_EXT:000013712', 'SO_EXT:normal_or_wild_type_or_present', 'SO_EXT:sequence_nullness_or_absence']
17069463	11	['These phenotypes are accompanied by a decrease in the electrophysiological responses of photosensory and postreceptoral neurons.']	(1694, 1822)	['CL:0000210', 'CL:0000210', 'GO_EXT:reaction_or_response', 'GO_EXT:detection_or_sensing_of_light_stimulus', 'GO_EXT:0004872']
17069463	12	['Hence, RanBP2 and its partners emerge as critical modulators of neuronal HKI, glucose catabolism, energy homeostasis, and targets for metabolic, aging disorders and allied neuropathies.']	(1823, 2008)	['CHEBI:17234', 'CL:0000540', 'GO_EXT:regulator', 'GO:0006007', 'GO:0006007', 'GO:0097009', 'GO:0097009', 'GO:0008152', 'GO:0007568', 'PR_EXT:000013712', 'PR_EXT:000008608']
17069463	13	['Synopsis\n\nThe Ran-binding protein 2 (RanBP2) is a large protein with several domains.']	(2010, 2095)	['CHEBI_PR_EXT:protein', 'CHEBI_PR_EXT:protein', 'CHEMINF_GO_EXT:chemical_binding_or_bond_formation', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000013712', 'PR_EXT:000013712', 'CHEBI_PR_EXT:protein', 'SO_EXT:0000417']
17069463	14	['Although several protein partners were found to interact with selective domains of RanBP2, none to this date were found toward its large leucine-rich domain (LD).']	(2096, 2258)	['CHEBI_PR_EXT:protein', 'CHEBI_SO_EXT:leucine', 'CHEBI_PR_EXT:protein', 'PR_EXT:000013712', 'SO_EXT:0000417', 'CHEBI_SO_EXT:leucine', 'SO_EXT:0000417']
17069463	15	['Cell-based experiments support several roles of RanBP2 in cell function, such as the production of functional proteins, control of protein trafficking between the nuclear and cytosol compartments, and control of multiple facets underlying cell division.']	(2259, 2512)	['CHEBI_PR_EXT:protein', 'CHEBI_PR_EXT:protein', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'GO:0006412', 'GO:0006412', 'GO:0006412', 'GO:0051223', 'GO:0051223', 'GO:0051223', 'GO:0051223', 'GO:0065007', 'GO:0051301', 'GO:0051301', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'GO:0005634', 'GO:0005829', 'CL_GO_EXT:cell', 'PR_EXT:000013712', 'CHEBI_PR_EXT:protein', 'CHEBI_PR_EXT:protein']
17069463	16	['Still, the genetic and physiological implications of the interactions between RanBP2 and its partners and of the function of RanBP2 in a whole-animal model remain elusive.']	(2513, 2684)	['GO_PATO_EXT:physiological_process_or_quality', 'NCBITaxon:33208', 'PR_EXT:000013712', 'PR_EXT:000013712', 'SO_EXT:0000704']
17069463	17	['The authors report the identification of two novel mitochondrial partners of the LD of RanBP2, Cox11 and hexokinase type I (HKI); and with multidisciplinary approaches probe the role of RanBP2 and its LD on Cox11, HKI, and functions allied to these.']	(2685, 2934)	['GO:0005739', 'GO_EXT:0004396', 'PR_EXT:000013712', 'PR_EXT:000005770', 'PR_EXT:000008608', 'PR_EXT:000008608', 'PR_EXT:000008608', 'PR_EXT:000008608', 'PR_EXT:000013712', 'PR_EXT:000005770', 'PR_EXT:000008608']
17069463	18	['The authors found that RanBP2 exhibits chaperone activity toward HKI and Cox11.']	(2935, 3014)	['PR_EXT:000013712', 'PR_EXT:000008608', 'PR_EXT:000005770']
17069463	19	['RanBP2 and Cox11 profoundly modulate HKI activity.']	(3015, 3065)	['GO:0065007', 'PR_EXT:000013712', 'PR_EXT:000005770', 'PR_EXT:000008608']
17069463	20	['Moreover, partial loss-of-function of RanBP2 in a mouse model induces deficits in growth rates and breakdown of glucose, promotes the down-regulation of HKI and ATP levels selectively in the central nervous system, and impairs visual function.']	(3066, 3309)	['CHEBI:17234', 'CHEBI_EXT:ATP', 'GO_EXT:biological_growth_entity_or_process', 'GO:0006007', 'GO:0006007', 'GO:0006007', 'GO_EXT:negative_regulation', 'GO_EXT:negative_regulation', 'GO_EXT:negative_regulation', 'GO:0007601', 'NCBITaxon:10088', 'PR_EXT:000013712', 'PR_EXT:000008608', 'UBERON:0001017', 'UBERON:0001017', 'UBERON:0001017']
17069463	21	['These findings support a critical role of RanBP2 and its partners in metabolic processes and allied disease states.']	(3310, 3425)	['GO:0008152', 'GO:0008152', 'PR_EXT:000013712']
17069463	22	['Introduction\n\nThe RanBP2/Nup358 is a unique vertebrate and large scaffold protein comprised of multiple structural and functional domains [1–4].']	(3427, 3571)	['CHEBI_PR_EXT:protein', 'GO_EXT:0032947', 'NCBITaxon:7742', 'PR_EXT:000013712', 'PR_EXT:000013712', 'CHEBI_PR_EXT:protein', 'SO_EXT:0000417']
17069463	23	['Several roles of RanBP2 have emerged that implicate RanBP2 in nucleocytoplasmic trafficking [3,5], protein biogenesis [6,7], the formation of the mitotic spindle, assembly of the nuclear envelope [8], and the integration of the nuclear envelope breakdown with kinetochore formation and maturation during early mitotic progression [9].']	(3572, 3906)	['CHEBI_PR_EXT:protein', 'GO:0006913', 'GO:0006913', 'GO:0006412', 'GO:0006412', 'GO:0090307', 'GO:0090307', 'GO:0090307', 'GO:0090307', 'GO:0051081', 'GO:0051081', 'GO:0051081', 'GO:0051382', 'GO:0051382', 'GO_PATO_EXT:biological_maturation', 'GO:0007067', 'GO_EXT:cytoplasm_or_nucleus', 'GO:0072686', 'GO:0072686', 'GO:0005635', 'GO:0005635', 'GO:0005635', 'GO:0005635', 'GO:0000776', 'PR_EXT:000013712', 'PR_EXT:000013712', 'CHEBI_PR_EXT:protein']
17069463	24	['The specific interaction of RanBP2 with a diverse set of partners likely reflects a pleiotropic role of RanBP2 in cell function, possibly through the integration of multiple pathways.']	(3907, 4090)	['CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'PR_EXT:000013712', 'PR_EXT:000013712']
17069463	25	['On the other hand, the cell (tissue)-selective interaction of RanBP2 with some of its partners may also impart cell-restricted roles to RanBP2.']	(4091, 4234)	['CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'PR_EXT:000013712', 'PR_EXT:000013712', 'UBERON:0000479']
17069463	26	['For example, the Ran-binding domains RBDn=1-4 of RanBP2 associate with the nuclear import co-receptor, importin-β [10,11], and antibodies against RanBP2 inhibit the nuclear import pathway in HeLa cells [3]; but such a role seems dispensable in Xenopus oocytes [12].']	(4235, 4500)	['CL_GO_EXT:cell', 'CL:0000023', 'GO:0051170', 'GO:0051170', 'GO:0051170', 'GO:0051170', 'GO:0005634', 'GO:0042571', 'GO:0005634', 'CL_GO_EXT:cell', 'CHEMINF_GO_EXT:chemical_binding_or_bond_formation', 'GO_EXT:0015026', 'GO_EXT:0015026', 'GO_EXT:0015026', 'NCBITaxon:8353', 'PR_EXT:000013708', 'PR_EXT:000013712', 'PR_EXT:000013712', 'SO_EXT:0000417']
17069463	27	['In addition, the combination of the C-terminal domains, RBD4 and CY (of RanBP2), associates with a subset of G protein-coupled receptors, the red/green opsin, expressed in photosensory neurons and enhances opsin functional production [6,7], while the interaction of the KBD of RanBP2 with a subset of the conventional microtubule-based motor proteins, the kinesins, KIF5B and KIF5C, occurs selectively in the central nervous system (CNS) [13].']	(4501, 4944)	['CHEBI_SO_EXT:C_terminus_or_C_terminal_region', 'CHEBI_SO_EXT:C_terminus_or_C_terminal_region', 'CHEBI_SO_EXT:C_terminus_or_C_terminal_region', 'CHEBI_PR_EXT:protein', 'CHEBI_PR_EXT:protein', 'CL:0000210', 'CL:0000210', 'GO:0010467', 'GO_EXT:detection_or_sensing_of_light_stimulus', 'GO_EXT:biological_movement_or_translocation_process', 'GO:0005874', 'GO_PR_EXT:G_protein_coupled_receptor', 'GO_PR_EXT:G_protein_coupled_receptor', 'GO_PR_EXT:G_protein_coupled_receptor', 'GO_PR_EXT:G_protein_coupled_receptor', 'GO_PR_EXT:G_protein_coupled_receptor', 'PR_EXT:000013712', 'GO_PR_EXT:G_protein_coupled_receptor', 'GO_PR_EXT:G_protein_coupled_receptor', 'GO_PR_EXT:G_protein_coupled_receptor', 'GO_PR_EXT:G_protein_coupled_receptor', 'GO_PR_EXT:G_protein_coupled_receptor', 'PR_EXT:000001244', 'PR_EXT:000001224', 'PR_EXT:000001224', 'PR_EXT:000001244', 'PR_EXT:000001119', 'PR_EXT:000013712', 'CHEBI_PR_EXT:protein', 'PR_EXT:000009317', 'PR_EXT:000009318', 'CHEBI_SO_EXT:C_terminus_or_C_terminal_region', 'CHEBI_SO_EXT:C_terminus_or_C_terminal_region', 'CHEBI_SO_EXT:C_terminus_or_C_terminal_region', 'SO_EXT:0000417', 'UBERON:0001017', 'UBERON:0001017', 'UBERON:0001017', 'UBERON:0001017']
17069463	28	['A diverse set of additional molecular partners, each associating specifically with a selective domain of RanBP2, are likely to impart and integrate additional roles to RanBP2.']	(4946, 5121)	['CHEBI_EXT:polyatomic_entity_or_group', 'PR_EXT:000013712', 'PR_EXT:000013712', 'SO_EXT:0000417']
