PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
11597317	0	['BRCA2 and homologous recombination\n\nAbstract\n\nTwo recent papers provide new evidence relevant to the role of the breast cancer susceptibility gene BRCA2 in DNA repair.']	(0, 167)	['CHEBI_SO_EXT:DNA', 'GO_SO_EXT:sequence_rearrangement_process', 'GO:0006281', 'GO:0006281', 'PR_EXT:000004804', 'PR_EXT:000004804', 'GO_SO_EXT:sequence_rearrangement_process', 'SO_EXT:0000704', 'CHEBI_SO_EXT:DNA', 'UBERON:0000310']
11597317	1	['Moynahan et al provide genetic data indicating a requirement for BRCA2 in homology-dependent (recombinational) repair of DNA double-strand breaks.']	(168, 314)	['CHEBI_SO_EXT:DNA', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'GO:0000724', 'PR_EXT:000004804', 'SO_EXT:0000704', 'GO_SO_EXT:sequence_rearrangement_process', 'CHEBI_SO_EXT:DNA']
11597317	2	['The second paper, by Davies et al, begins to address the mechanism through which BRCA2 makes its contribution to recombinational repair.']	(315, 451)	['GO:0000725', 'GO:0000725', 'PR_EXT:000004804', 'GO_SO_EXT:sequence_rearrangement_process']
11597317	3	['BRCA2 appears to function in recombination via interactions with the major eukaryotic recombinase RAD51 [1,2,3].']	(452, 564)	['GO_SO_EXT:sequence_rearrangement_process', 'GO_EXT:recombinase', 'NCBITaxon:2759', 'PR_EXT:000004804', 'PR_EXT:000013672', 'GO_SO_EXT:sequence_rearrangement_process']
11597317	4	['We briefly review the context in which the two studies were carried out, we comment on the results presented, and we discuss models designed to account for the role of BRCA2 in RAD51–mediated repair.']	(565, 764)	['GO:0006281', 'PR_EXT:000004804', 'PR_EXT:000013672']
11597317	5	['Keywords: breast cancer, homologous recombination\n\nBRCA2\n\nBRCA2 was the second breast cancer susceptibility gene to be discovered, and was isolated through positional cloning using data from families with inherited breast cancer [4].']	(766, 999)	['GO_SO_EXT:sequence_rearrangement_process', 'PR_EXT:000004804', 'PR_EXT:000004804', 'GO_SO_EXT:sequence_rearrangement_process', 'SO_EXT:0000704', 'SO_EXT:sequence_cloning_process', 'UBERON:0000310', 'UBERON:0000310', 'UBERON:0000310']
11597317	6	['Cells with mutant BRCA2 protein are, like many cancer cells, genetically unstable and accumulate gross chromosomal rearrangements [5,6].']	(1000, 1136)	['CHEBI_PR_EXT:protein', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'GO_SO_EXT:sequence_rearrangement_entity_or_process', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'GO_SO_EXT:chromosome', 'PR_EXT:000004804', 'CHEBI_PR_EXT:protein', 'SO_EXT:sequence_altered_entity_or_alteration_process', 'SO_EXT:0000704', 'GO_SO_EXT:chromosome', 'GO_SO_EXT:sequence_rearrangement_entity_or_process']
11597317	7	['The sequence of this large protein (3418 amino acids) offers very little clue to its function, although there are eight repeated segments (termed BRC repeats) in the middle of the protein that are highly conserved among mammalian orthologs [7,8].']	(1137, 1383)	['CHEBI_PR_EXT:protein', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_PR_EXT:protein', 'NCBITaxon:40674', 'CHEBI_PR_EXT:protein', 'CHEBI_PR_EXT:protein', 'SO_EXT:biological_sequence', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_SO_EXT:amino_acid', 'SO_EXT:0000657', 'SO_EXT:0000657', 'SO_EXT:sequence_repeat_unit_or_region', 'SO_EXT:biological_conservation_process_or_quality', 'SO_EXT:0000855']
11597317	8	['Breast cancer susceptibility genes and DNA repair\n\nFollowing the landmark discovery by Scully et al that the homologous recombinase RAD51 colocalizes at subnuclear sites with BRCA1 [9], a number of additional results have provided evidence that both BRCA1 and BRCA2 are involved in recombinational repair of DNA damage.']	(1385, 1704)	['CHEBI_SO_EXT:DNA', 'CHEBI_SO_EXT:DNA', 'GO:0006281', 'GO:0006281', 'GO_PATO_EXT:biological_localization_process_or_quality', 'GO:0000725', 'GO:0000725', 'GO:0000725', 'GO:0000725', 'GO:0000725', 'GO:0005634', 'GO_EXT:0000150', 'GO_EXT:0000150', 'PR_EXT:000013672', 'PR_EXT:000004803', 'PR_EXT:000004803', 'PR_EXT:000004804', 'SO_EXT:0000704', 'CHEBI_SO_EXT:DNA', 'GO_SO_EXT:sequence_rearrangement_process', 'CHEBI_SO_EXT:DNA', 'UBERON:0000310']
11597317	9	['BRCA1 and BRCA2 form discrete nuclear foci during the S phase and after exposure to DNA damaging agents [9,10,11].']	(1705, 1819)	['CHEBI_EXT:50902', 'CHEBI_EXT:50902', 'CHEBI_EXT:50902', 'GO:0051320', 'GO:0051320', 'GO:0005634', 'PR_EXT:000004803', 'PR_EXT:000004804', 'CHEBI_SO_EXT:DNA']
