PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
15320950	0	['Loss of KCNJ10 protein expression abolishes endocochlear potential and causes deafness in Pendred syndrome mouse model\n\nAbstract\n\nBackground\n\nPendred syndrome, a common autosomal-recessive disorder characterized by congenital deafness and goiter, is caused by mutations of SLC26A4, which codes for pendrin.']	(0, 306)	['CHEBI_PR_EXT:protein', 'GO:0010467', 'GO:0030849', 'NCBITaxon:10088', 'PR_EXT:000001979', 'CHEBI_PR_EXT:protein', 'PR_EXT:000015039', 'PR_EXT:000015039', 'SO_EXT:sequence_alteration_entity_or_process', 'SO_EXT:sequence_coding_function']
15320950	1	['We investigated the relationship between pendrin and deafness using mice that have (Slc26a4+/+) or lack a complete Slc26a4 gene (Slc26a4-/-).']	(307, 448)	['NCBITaxon:10088', 'PR_EXT:000015039', 'PR_EXT:000015039', 'PR_EXT:000015039', 'PR_EXT:000015039', 'SO_EXT:normal_or_wild_type_or_present', 'SO_EXT:normal_or_wild_type_or_present', 'SO_EXT:0000704', 'SO_EXT:sequence_nullness_or_absence', 'SO_EXT:sequence_nullness_or_absence']
15320950	2	['Methods\n\nExpression of pendrin and other proteins was determined by confocal immunocytochemistry.']	(450, 547)	['CHEBI_PR_EXT:protein', 'GO:0010467', 'PR_EXT:000015039', 'CHEBI_PR_EXT:protein']
15320950	3	['Expression of mRNA was determined by quantitative RT-PCR.']	(548, 605)	['CHEBI_SO_EXT:mRNA', 'GO:0010467', 'GO_EXT:reverse_transcription_or_reverse_transcriptase', 'GO_EXT:reverse_transcription_or_reverse_transcriptase', 'CHEBI_SO_EXT:mRNA']
15320950	4	['The endocochlear potential and the endolymphatic K+ concentration were measured with double-barreled microelectrodes.']	(606, 723)	['CHEBI:29103', 'CHEBI:29103']
15320950	5	['Currents generated by the stria marginal cells were recorded with a vibrating probe.']	(724, 808)	['CL:0002492', 'CL:0002492', 'CL:0002492', 'CL_GO_EXT:cell', 'UBERON:0002282']
15320950	6	['Tissue masses were evaluated by morphometric distance measurements and pigmentation was quantified by densitometry.']	(809, 924)	['GO_PATO_EXT:biological_pigmentation_process_or_quality', 'UBERON:0000479']
15320950	7	['Results\n\nPendrin was found in the cochlea in apical membranes of spiral prominence cells and spindle-shaped cells of stria vascularis, in outer sulcus and root cells.']	(926, 1092)	['CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'GO:0016324', 'GO:0016324', 'GO:0016324', 'GO:0016324', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'PR_EXT:000015039', 'UBERON:0001844', 'UBERON:0028194', 'UBERON:0028194', 'UBERON:0002282', 'UBERON:0002282', 'UBERON:0008832', 'UBERON:0008832']
15320950	8	['Endolymph volume in Slc26a4-/- mice was increased and tissue masses in areas normally occupied by type I and II fibrocytes were reduced.']	(1093, 1229)	['CL:0002670', 'CL:0002666', 'CL:0002670', 'CL:0002666', 'CL:0002670', 'CL:0002666', 'NCBITaxon:10088', 'PR_EXT:000015039', 'SO_EXT:sequence_nullness_or_absence', 'SO_EXT:sequence_nullness_or_absence', 'UBERON:0001852', 'UBERON:0000479']
15320950	9	['Slc26a4-/- mice lacked the endocochlear potential, which is generated across the basal cell barrier by the K+ channel KCNJ10 localized in intermediate cells.']	(1230, 1387)	['CHEBI:29103', 'CHEBI:29103', 'CL:0000646', 'CL:0000646', 'CL:0002486', 'CL:0002486', 'GO_PATO_EXT:biological_localization_process_or_quality', 'CL_GO_EXT:cell', 'CL_GO_EXT:cell', 'GO_EXT:0005267', 'GO_EXT:0005267', 'GO_EXT:0005267', 'NCBITaxon:10088', 'PR_EXT:000015039', 'PR_EXT:000001979', 'SO_EXT:sequence_nullness_or_absence', 'SO_EXT:sequence_nullness_or_absence']
15320950	10	['Stria vascularis was hyperpigmented, suggesting unalleviated free radical damage.']	(1388, 1469)	['CHEBI_EXT:26130', 'CHEBI:26519', 'CHEBI:26519', 'UBERON:0002282', 'UBERON:0002282']
