PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
14723793	0	['Molecular cloning and characterization of the mouse Acdp gene family\n\nAbstract\n\nBackground\n\nWe have recently cloned and characterized a novel gene family named ancient conserved domain protein (ACDP) in humans.']	(0, 210)	['CHEBI_EXT:polyatomic_entity_or_group', 'CHEBI_PR_EXT:protein', 'NCBITaxon:10088', 'NCBITaxon:9606', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'SO_EXT:sequence_cloning_process', 'SO_EXT:0000704', 'SO_EXT:sequence_cloning_process', 'SO_EXT:0000704', 'SO_EXT:biological_conservation_process_or_quality', 'SO_EXT:0000417']
14723793	1	['To facilitate the functional study of this novel gene family, we have cloned and characterized Acdp, the mouse homologue of the human ACDP gene family.']	(211, 362)	['NCBITaxon:10088', 'NCBITaxon:9606', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'SO_EXT:0000704', 'SO_EXT:sequence_cloning_process', 'SO_EXT:0000853', 'SO_EXT:0000704']
14723793	2	['Results\n\nThe four Acdp genes (Acdp1, Acdp2, Acdp3 and Acdp4) contain 3,631 bp, 3,244 bp, 2,684 bp and 2,743 bp of cDNA sequences, and encode deduced proteins of 951, 874, 713 and 771 amino acids, respectively.']	(364, 573)	['CHEBI_PR_EXT:protein', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_SO_EXT:amino_acid', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:000005643', 'PR_EXT:000005644', 'PR_EXT:000005645', 'PR_EXT:000005646', 'CHEBI_PR_EXT:protein', 'SO_EXT:0000704', 'SO_EXT:0000028', 'SO_EXT:0000028', 'SO_EXT:0000028', 'SO_EXT:0000028', 'SO_EXT:cDNA', 'SO_EXT:biological_sequence', 'SO_EXT:sequence_coding_function', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_SO_EXT:amino_acid']
14723793	3	['The mouse Acdp genes showed very strong homologies (>90%) in both nucleotide and amino acid sequences to their human counterparts.']	(574, 704)	['CHEBI_SO_EXT:nucleotide', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_SO_EXT:amino_acid', 'NCBITaxon:10088', 'NCBITaxon:9606', 'PR_EXT:ACDP_or_CNNM', 'SO_EXT:0000704', 'SO:0000857', 'CHEBI_SO_EXT:nucleotide', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_SO_EXT:amino_acid', 'SO_EXT:biological_sequence']
14723793	4	['In addition, both nucleotide and amino acid sequences within the Ancient Conserved Domain (ACD) are highly conserved in many different taxonomic species.']	(705, 858)	['CHEBI_SO_EXT:nucleotide', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_SO_EXT:amino_acid', 'NCBITaxon:species', 'NCBITaxon:species', 'CHEBI_SO_EXT:nucleotide', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_SO_EXT:amino_acid', 'SO_EXT:biological_sequence', 'SO_EXT:biological_conservation_process_or_quality', 'SO_EXT:0000417', 'SO_EXT:biological_conservation_process_or_quality']
14723793	5	['Particularly, Acdp proteins showed very strong AA homologies to the bacteria CorC protein (35% AA identity with 55% homology), which is involved in magnesium and cobalt efflux.']	(859, 1035)	['CHEBI_PR_EXT:protein', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_PR_EXT:protein', 'CHEBI_SO_EXT:amino_acid', 'CHEBI_EXT:magnesium', 'CHEBI_EXT:cobalt', 'NCBITaxon:2', 'PR_EXT:ACDP_or_CNNM', 'CHEBI_PR_EXT:protein', 'PR_EXT:000022321', 'CHEBI_PR_EXT:protein', 'CHEBI_SO_EXT:amino_acid', 'SO:0000857', 'CHEBI_SO_EXT:amino_acid', 'SO:0000857']
14723793	6	['The Acdp genes are widely expressed in all tissues tested except for Acdp1, which is only highly expressed in the brain with low levels of expression in kidney and testis.']	(1036, 1207)	['GO:0010467', 'GO:0010467', 'GO:0010467', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:000005643', 'SO_EXT:0000704', 'UBERON:0000479', 'UBERON:0000955', 'UBERON:0002113', 'UBERON:0000473']
14723793	7	['Immunostaining of Acdp1 in hippocampus neurons revealed a predominant localization on the plasma membrane.']	(1208, 1314)	['CL:0002608', 'CL:0002608', 'GO_PATO_EXT:biological_localization_process_or_quality', 'GO:0005886', 'GO:0005886', 'PR_EXT:000005643', 'UBERON_EXT:hippocampus_proper_or_hippocampal_formation']
14723793	8	['Conclusion\n\nThe Acdp genes are evolutionarily conserved in diverse species and ubiquitously expressed throughout development and adult tissues suggesting that Acdp may be an essential gene.']	(1316, 1505)	['GO:0010467', 'NCBITaxon:species', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'SO_EXT:0000704', 'SO_EXT:biological_conservation_process_or_quality', 'SO_EXT:biological_conservation_process_or_quality', 'SO_EXT:0000704', 'UBERON:0007023', 'UBERON:0000479']
14723793	9	['Acdp showed strong homology to bacteria CorC protein and predominantly localized on the plasma membrane.']	(1506, 1610)	['CHEBI_PR_EXT:protein', 'GO_PATO_EXT:biological_localization_process_or_quality', 'GO:0005886', 'GO:0005886', 'NCBITaxon:2', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:000022321', 'CHEBI_PR_EXT:protein', 'SO:0000857']
14723793	10	['These results suggest that Acdp is probably a family of proteins involved in ion transport in mammalian cells\n\nBackground\n\nWe have recently cloned and characterized a novel gene family named ancient conserved domain protein (ACDP) which encodes four protein members in humans [1].']	(1611, 1891)	['CHEBI_PR_EXT:protein', 'CHEBI:24870', 'CHEBI_PR_EXT:protein', 'CHEBI_PR_EXT:protein', 'CL_GO_EXT:cell', 'GO:0006811', 'GO:0046907', 'GO:0006811', 'GO:0046907', 'GO:0046907', 'CL_GO_EXT:cell', 'NCBITaxon:40674', 'NCBITaxon:9606', 'PR_EXT:ACDP_or_CNNM', 'CHEBI_PR_EXT:protein', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'CHEBI_PR_EXT:protein', 'SO_EXT:sequence_cloning_process', 'SO_EXT:0000704', 'SO_EXT:biological_conservation_process_or_quality', 'SO_EXT:0000417', 'SO_EXT:sequence_coding_function']
14723793	11	['We found that this gene family is evolutionarily conserved in diverse species ranging from bacteria, yeast, C. elegans, and D. melanogaster to mammals.']	(1892, 2043)	['NCBITaxon:species', 'NCBITaxon:2', 'NCBITaxon_EXT:yeast', 'NCBITaxon:6239', 'NCBITaxon:6239', 'NCBITaxon:6239', 'NCBITaxon:7227', 'NCBITaxon:7227', 'NCBITaxon:7227', 'NCBITaxon:40674', 'SO_EXT:0000704', 'SO_EXT:biological_conservation_process_or_quality', 'SO_EXT:biological_conservation_process_or_quality']
14723793	12	['The sequence conservation and the presence of multiple members within a species may imply functional importance associated with the genes.']	(2044, 2182)	['NCBITaxon:species', 'SO_EXT:biological_sequence', 'SO_EXT:biological_conservation_process_or_quality', 'SO_EXT:0000704']
14723793	13	['To facilitate the functional analysis of the ACDP gene family, we cloned and characterized Acdp, the mouse homologue of the human ACDP gene family.']	(2183, 2330)	['NCBITaxon:10088', 'NCBITaxon:9606', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'SO_EXT:0000704', 'SO_EXT:sequence_cloning_process', 'SO_EXT:0000853', 'SO_EXT:0000704']
14723793	14	['Results\n\nMolecular cloning of the Acdp gene family\n\nTo clone the mouse Acdp genes, the human ACDP cDNA and predicted protein sequences were used to search the mouse EST database with the blastn and tblastn programs.']	(2332, 2547)	['CHEBI_EXT:polyatomic_entity_or_group', 'CHEBI_PR_EXT:protein', 'NCBITaxon:10088', 'NCBITaxon:9606', 'NCBITaxon:10088', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'PR_EXT:ACDP_or_CNNM', 'CHEBI_PR_EXT:protein', 'SO_EXT:sequence_cloning_process', 'SO_EXT:0000704', 'SO_EXT:sequence_cloning_process', 'SO_EXT:0000704', 'SO_EXT:cDNA', 'SO_EXT:biological_sequence', 'SO_EXT:0000345']
14723793	15	['Mouse EST markers corresponding to each Acdp member were then identified.']	(2548, 2621)	['CHEBI_SO_EXT:molecular_indicator_or_label_or_marker_or_tag', 'NCBITaxon:10088', 'PR_EXT:ACDP_or_CNNM', 'SO_EXT:0000345', 'CHEBI_SO_EXT:molecular_indicator_or_label_or_marker_or_tag']
14723793	16	['For example, EST H3086H12-5 corresponds to Acdp1, W98010 for Acdp2, 603299135F1 for Acdp3 and BG083791 for Acdp4.']	(2622, 2735)	['PR_EXT:000005643', 'PR_EXT:000005644', 'PR_EXT:000005645', 'PR_EXT:000005646', 'SO_EXT:0000345']
14723793	17	['A modified oligo-dT with a M13 tail was used for the RT reaction.']	(2736, 2801)	['CHEBI_SO_EXT:oligonucleotide', 'CHEBI_EXT:thymine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group', 'GO_EXT:reverse_transcription_or_reverse_transcriptase', 'GO_EXT:reverse_transcription_or_reverse_transcriptase', 'SO_EXT:sequence_alteration_process', 'CHEBI_SO_EXT:oligonucleotide']
14723793	18	["A forward primer from each EST marker and the M13 primer (olig-dT tail) were used to amplify the 3' UTR sequence for each corresponding Acdp gene from the RT products."]	(2802, 2969)	['CHEBI_SO_EXT:molecular_indicator_or_label_or_marker_or_tag', 'CHEBI_SO_EXT:oligonucleotide', 'CHEBI_EXT:thymine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group', 'GO_EXT:reverse_transcription_or_reverse_transcriptase', 'GO_EXT:reverse_transcription_or_reverse_transcriptase', 'PR_EXT:ACDP_or_CNNM', 'SO_EXT:0000121', 'SO_EXT:0000121', 'SO_EXT:0000345', 'CHEBI_SO_EXT:molecular_indicator_or_label_or_marker_or_tag', 'SO_EXT:0000112', 'CHEBI_SO_EXT:oligonucleotide', 'SO_EXT:0000205', 'SO_EXT:0000205', 'SO_EXT:0000205', 'SO_EXT:biological_sequence', 'SO_EXT:0000704']
14723793	19	["To obtain 5'-end coding sequences for the Acdp genes, we conducted a series nested PCR with combinations of mouse and human primers."]	(2970, 3102)	['NCBITaxon:10088', 'NCBITaxon:9606', 'PR_EXT:ACDP_or_CNNM', 'SO_EXT:coding_sequence', 'SO_EXT:coding_sequence', 'SO_EXT:0000704', 'SO_EXT:0000112']
14723793	20	["The 5' UTR sequences were identified by directly sequencing BAC DNA containing the corresponding Acdp genes."]	(3103, 3211)	['CHEBI_SO_EXT:DNA', 'PR_EXT:ACDP_or_CNNM', 'SO_EXT:0000204', 'SO_EXT:0000204', 'SO_EXT:0000204', 'SO_EXT:biological_sequence', 'SO_EXT:0000153', 'CHEBI_SO_EXT:DNA', 'SO_EXT:0000704']
14723793	21	['The BAC clones were identified by screening a CITB mouse BAC DNA library (Research Genetics).']	(3212, 3305)	['CHEBI_SO_EXT:DNA', 'NCBITaxon:10088', 'SO_EXT:0000153', 'SO_EXT:sequence_cloned_entity', 'SO_EXT:0000153', 'CHEBI_SO_EXT:DNA', 'OBI_SO_EXT:gene_or_genetic_investigation_or_genetic_process']
14723793	22	["The 5' UTR sequences obtained from above were further confirmed by RT-PCR."]	(3306, 3380)	['GO_EXT:reverse_transcription_or_reverse_transcriptase', 'GO_EXT:reverse_transcription_or_reverse_transcriptase', 'SO_EXT:0000204', 'SO_EXT:0000204', 'SO_EXT:0000204', 'SO_EXT:biological_sequence']
