ONTOLOGY	total training annotation count	average training annotation count per article	median training annotation count per article	total unique training annotation count	average unique training annotation count per article	median unique training annotation count per article	OBO addition count	total annotations for concept norm	total unique annotations for concept norm	GS total annotation count	GS average annotation count per article	GS median annotation count per article	GS total unique annotation count	GS average unique annotation count per article	GS median unique annotation count per article
CHEBI	4548	67.8806	45.0000	1463	21.8358	18.0000	58214	62762	59677	2200	73.3333	39.0000	627	20.9000	19.5000
CHEBI_EXT	11915	177.8358	142.0000	2852	42.5672	38.0000	58439	70354	61291	5248	174.9333	148.5000	1167	38.9000	39.0000
CL	4043	60.3433	32.0000	581	8.6716	7.0000	2163	6206	2744	1749	58.3000	42.0000	253	8.4333	8.5000
CL_EXT	6276	93.6716	64.0000	651	9.7164	8.0000	2168	8444	2819	2872	95.7333	70.5000	286	9.5333	9.5000
GO_BP	9280	138.5075	108.0000	1586	23.6716	21.0000	29213	38493	30799	3681	122.7000	97.0000	682	22.7333	23.0000
GO_BP_EXT	13954	208.2687	158.0000	2511	37.4776	33.0000	29301	43255	31812	5847	194.9000	151.5000	1090	36.3333	37.0000
GO_CC	4075	60.8209	33.0000	677	10.1045	9.0000	4052	8127	4729	1184	39.4667	17.5000	212	7.0667	6.0000
GO_CC_EXT	8495	126.7910	91.0000	896	13.3731	12.0000	4086	12581	4982	3217	107.2333	67.0000	296	9.8667	8.5000
GO_MF	375	5.5970	2.0000	49	0.7313	1.0000	10951	11326	11000	94	3.1333	1.0000	19	0.6333	1.0000
GO_MF_EXT	4070	60.7463	34.0000	738	11.0149	11.0000	10031	14101	10769	1822	60.7333	37.5000	377	12.5667	11.5000
MOP	240	3.5821	2.0000	85	1.2687	1.0000	3574	3814	3659	101	3.3667	1.0000	32	1.0667	1.0000
MOP_EXT	386	5.7612	2.0000	108	1.6119	1.0000	3578	3964	3686	111	3.7000	1.0000	40	1.3333	1.0000
NCBITaxon	7362	109.8806	90.0000	690	10.2985	9.0000	1175661	1183023	1176351	3101	103.3667	85.5000	315	10.5000	9.0000
NCBITaxon_EXT	7592	113.3134	97.0000	757	11.2985	10.0000	1175682	1183274	1176439	3219	107.3000	91.0000	346	11.5333	9.5000
PR	17038	254.2985	198.0000	1278	19.0746	18.0000	213371	230409	214649	6409	213.6333	184.0000	466	15.5333	16.0000
PR_EXT	19862	296.4478	246.0000	1534	22.8955	22.0000	213531	233393	215065	7932	264.4000	228.5000	588	19.6000	19.0000
SO	8797	131.2985	118.0000	1216	18.1493	18.0000	2256	11053	3472	3446	114.8667	105.0000	544	18.1333	18.5000
SO_EXT	24955	372.4627	341.0000	3172	47.3433	47.0000	2405	27360	5577	9136	304.5333	329.0000	1409	46.9667	48.0000
UBERON	12269	183.1194	130.0000	2048	30.5672	24.0000	14057	26326	16105	6551	218.3667	190.5000	1040	34.6667	31.0000
UBERON_EXT	14910	222.5373	165.0000	2409	35.9552	29.0000	14113	29023	16522	7416	247.2000	203.0000	1217	40.5667	37.5000
