Ontology	support	CRF	LSTM	LSTM_CRF	CHAR_EMBEDDINGS	LSTM_ELMO	BIOBERT
CHEBI	14	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CL	175	0.1176	0.1158	0.1171	0.0000	0.0107	0.1818
GO_BP	272	0.0952	0.0000	0.0140	0.0000	0.0070	0.2742
GO_CC	14	0.1053	0.0000	0.0000	0.0526	0.0000	0.3000
GO_MF	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MOP	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NCBITaxon	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PR	44	0.0000	0.0000	0.0000	0.0000	0.0000	0.0800
SO	45	0.0408	0.0000	0.0000	0.0000	0.0000	0.3000
UBERON	118	0.0400	0.0000	0.0000	0.0000	0.0000	0.0915
